Depth_mm,Location,Feature,WallThickness_mm,PipeOD_mm
0.55,OD,Internal,12.7,914.4
0.72,OD,External,12.7,914.4
0.81,OD,Internal,12.7,914.4
1.10,OD,External,12.7,914.4
1.45,ID,Internal,12.7,914.4
1.72,OD,External,12.7,914.4
2.10,OD,Internal,12.7,914.4
2.65,ID,External,12.7,914.4
3.10,Internal,External,12.7,914.4
3.55,External,Internal,12.7,914.4
4.40,OD,External,12.7,914.4
5.20,ID,Internal,12.7,914.4
6.80,OD,External,12.7,914.4
8.10,External,Internal,12.7,914.4
NOMINAL,OD,Internal,12.7,914.4
<0.8,ID,Internal,12.7,914.4
UNSIZED,External,Internal,12.7,914.4
N/A,OD,External,12.7,914.4
1.90,OD,External,12.7,914.4
2.35,ID,Internal,12.7,914.4
